BCN,Article,Size,Brand,Colour,MRP,SalesPrice,TotalQty,ItemCode,ItemName
G004H1,WHITE,2,CHINUZ,,820.0,620.0,1.0,1294,KURTA PAYJAMA BOYS
G004H3,WHITE,2,CHINUZ,,900.0,700.0,1.0,1294,KURTA PAYJAMA BOYS
G004H4,WHITE,2,CHINUZ,,900.0,700.0,1.0,1294,KURTA PAYJAMA BOYS
G004H5,SEQ-ORANGE,2,CHINUZ,,920.0,720.0,1.0,1294,KURTA PAYJAMA BOYS
G004HC,YELLOW,4,CHINUZ,,820.0,620.0,1.0,1294,KURTA PAYJAMA BOYS
G004HE,4009,34,JEANS TOP,,930.0,830.0,1.0,1280,GIRLS DRESS
G004HH,SEQ-ORANGE,4,CHINUZ,,920.0,720.0,1.0,1294,KURTA PAYJAMA BOYS
G004HL,PISTA,5,CHINUZ,,820.0,620.0,1.0,1294,KURTA PAYJAMA BOYS
G004HN,SEQ-ORANGE,5,CHINUZ,,920.0,720.0,1.0,1294,KURTA PAYJAMA BOYS
G004HP,JACKET BLU,5,CHINUZ,,1300.0,1100.0,1.0,1294,KURTA PAYJAMA BOYS
G004HQ,INDO YELLO,5,CHINUZ,,1320.0,1120.0,1.0,1294,KURTA PAYJAMA BOYS
G004HR,INDO PISTA,5,CHINUZ,,1320.0,1120.0,1.0,1294,KURTA PAYJAMA BOYS
G004I4,12517,28,JEANS TOP,,1010.0,910.0,1.0,1280,GIRLS DRESS
G004I7,11914,24,JEANS TOP,,1000.0,900.0,1.0,1280,GIRLS DRESS
G004I8,SEQ-ORANGE,7,CHINUZ,,920.0,720.0,1.0,1294,KURTA PAYJAMA BOYS
G004I9,INDO PISTA,7,CHINUZ,,1320.0,1120.0,1.0,1294,KURTA PAYJAMA BOYS
G004IC,SEQ-ORANGE,8,CHINUZ,,920.0,720.0,1.0,1294,KURTA PAYJAMA BOYS
G004ID,SEQ-YELLOW,8,CHINUZ,,920.0,720.0,1.0,1294,KURTA PAYJAMA BOYS
G004IE,JACKET BLU,9,CHINUZ,,1300.0,1100.0,1.0,1294,KURTA PAYJAMA BOYS
G004IH,11914,28,JEANS TOP,,1000.0,900.0,1.0,1280,GIRLS DRESS
G004IR,INDO YELLO,10,CHINUZ,,1320.0,1120.0,1.0,1294,KURTA PAYJAMA BOYS
